SubmissionID,OverridePrimaryTheme,OverrideSubtheme,Reviewed,OverrideNotes,UpdatedAt
0Q505JN,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
0QDJvXQ,Global inequality,"Asset Prices, Returns and Portfolio Dynamics",True,,2026-03-11T08:05:00
0QgvpgN,Gender inequality,"Care Work, Household Dynamics and Time Use",False,,2026-03-06T13:49:47
0QgyXB9,Taxation and tax evasion,Wealth Taxation and Capital Income Tax Design,False,,2026-03-06T13:49:47
0Qyb44N,Drivers,"Macroeconomic Drivers: Inflation, Growth and Cycles",True,,2026-03-11T08:05:12
1AgYRRb,Global inequality,"Savings, Capital Accumulation and Wealth Mobility",True,,2026-03-11T08:05:00
1Age6QL,Political inequalities,"Polarization, Media and Democratic Trust",False,,2026-03-06T13:49:47
1AxJ75M,Political inequalities,Political Inequalities - General,False,,2026-03-06T13:49:47
2E5697V,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
2EgDeOA,Gender inequality,Gender Wage Gaps and Labor Income Inequality,False,,2026-03-06T13:49:47
2EgE4MD,Gender inequality,"Care Work, Household Dynamics and Time Use",False,,2026-03-06T13:49:47
2EgN5gD,Taxation and tax evasion,"Tax Incidence, Redistribution and Welfare Effects",False,,2026-03-06T13:49:47
2EgReqM,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
2EgVxqb,Drivers,"Firm Dynamics, Market Power and Productivity",True,,2026-03-11T08:05:12
2EgY8qL,Taxation and tax evasion,Taxation and Evasion - General,False,,2026-03-06T13:49:47
2Egzk19,Global inequality,Global Wealth Convergence and Divergence,True,,2026-03-11T08:05:00
2EyMXEe,Drivers,"Macroeconomic Drivers: Inflation, Growth and Cycles",True,,2026-03-11T08:05:12
2EyQyyV,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
44DEyOA,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
44DRNBX,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
44DYXok,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
44DYy4o,Political inequalities,Political Inequalities - General,False,,2026-03-06T13:49:47
44DplqY,Drivers,"Firm Dynamics, Market Power and Productivity",True,,2026-03-11T08:05:12
44qQ8GO,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
44ygrrY,Income and wealth mobility,Intergenerational Mobility and Equality of Opportunity,False,,2026-03-06T13:49:47
44yjQv5,Gender inequality,Gender Inequality - General,False,,2026-03-06T13:49:47
44ypvj5,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
5BD7vQN,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
5BDJJdo,Taxation and tax evasion,Wealth Taxation and Capital Income Tax Design,False,,2026-03-06T13:49:47
5Bg17Dv,Inequality dynamics,Public goods,True,,2026-03-11T08:03:14
5Bg6lKE,Land inequality,"Agricultural Productivity, Smallholders and Rural Inequality",False,,2026-03-06T13:49:47
5BgY1Zv,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
5BgYe9Q,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
5BgoxeE,Taxation and tax evasion,"Tax Incidence, Redistribution and Welfare Effects",False,,2026-03-06T13:49:47
5Bgr8lN,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
5BgzD9o,Global inequality,"Savings, Capital Accumulation and Wealth Mobility",True,,2026-03-11T08:05:00
68yD66P,Income and wealth mobility,Class mobility (U.S.),True,,2026-03-10T13:27:34
68yD9rB,Taxation and tax evasion,"Corporate Taxation, Profit Shifting and Evasion",False,,2026-03-06T13:49:47
68ylgQY,Gender inequality,Gender Wage Gaps and Labor Income Inequality,False,,2026-03-06T13:49:47
68zO8Le,Methods and measurement,Distributional Decomposition and Counterfactual Methods,True,,2026-03-11T08:03:34
68zW0ve,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
68zWvgo,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
7Re8D86,Drivers,"Technology, Automation and Digital Transformation",True,,2026-03-11T08:05:12
7Rej2Mz,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
7Rggv1a,Drivers,"Technology, Automation and Digital Transformation",True,,2026-03-11T08:05:12
7RgzQG9,Income and wealth mobility,Intergenerational Mobility and Equality of Opportunity,False,,2026-03-06T13:49:47
7RzYoq0,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
815BbXA,Taxation and tax evasion,Taxation and Evasion - General,False,,2026-03-06T13:49:47
81g9ZWP,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
81ggORz,Taxation and tax evasion,"Corporate Taxation, Profit Shifting and Evasion",False,,2026-03-06T13:49:47
81ggqEz,Inequality dynamics,Distributional National Accounts and Data Infrastructure,True,,2026-03-11T08:03:14
81gyGV5,Taxation and tax evasion,Wealth Taxation and Capital Income Tax Design,False,,2026-03-06T13:49:47
81y9oQo,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
9qgPvG1,Environmental inequalities,Environmental Inequalities - General,False,,2026-03-06T13:49:47
9qgdlA4,Drivers,"Macroeconomic Drivers: Inflation, Growth and Cycles",True,,2026-03-11T08:05:12
9qgpV2G,Income and wealth mobility,Wealth Mobility,True,,2026-03-10T13:25:24
A7G1gLo,Gender inequality,"Gendered Institutions, Norms and Social Exclusion",False,,2026-03-06T13:49:47
A7OD9ky,Inequality dynamics,Historical Measurement - General,True,,2026-03-11T08:03:14
A7OGVKk,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
A7OGvQk,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
A7ONzke,Gender inequality,"Care Work, Household Dynamics and Time Use",False,,2026-03-06T13:49:47
A7OOPE0,Inequality perceptions,Perceptions of Fairness and Social Mobility,False,,2026-03-06T13:49:47
A7OY7j0,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
A7OlqYl,Methods and measurement,Advanced Panel and Time-Series Methods,True,,2026-03-11T08:03:34
A7ydRzN,Income and wealth mobility,Income Mobility Over the Life Cycle,False,,2026-03-06T13:49:47
BzVkvRA,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
BzVp2X5,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
Bzl2NWY,Global inequality,"Asset Prices, Returns and Portfolio Dynamics",True,,2026-03-11T08:05:00
BzlyMM5,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
D4EAr65,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
D4EyxBl,Inequality dynamics,Historical Series and Archives,True,,2026-03-11T08:03:14
D4P8yg5,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
D4PMAGl,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
D4PQ47E,Income and wealth mobility,Intergenerational Mobility and Equality of Opportunity,False,,2026-03-06T13:49:47
D4YrzYj,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
EkEP7gA,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
EkEjqMq,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
EkezORA,Political inequalities,"State Capacity, Institutions and Policy Design",False,,2026-03-06T13:49:47
Ekg7Jgr,Gender inequality,Gender Inequality - General,False,,2026-03-06T13:49:47
Ekr1WEr,Environmental inequalities,"Climate Justice, Vulnerability and Adaptation",False,,2026-03-06T13:49:47
EkrAoql,Income and wealth mobility,Intergenerational Mobility and Equality of Opportunity,False,,2026-03-06T13:49:47
EkrELQX,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
EkrG9Kr,Gender inequality,Gender Wage Gaps and Labor Income Inequality,False,,2026-03-06T13:49:47
EkrGEaL,Gender inequality,"Care Work, Household Dynamics and Time Use",False,,2026-03-06T13:49:47
EkrJ1BN,Environmental inequalities,Carbon Pricing and Climate Policy Distributional Effects,False,,2026-03-06T13:49:47
EkrbWJA,Global inequality,"Asset Prices, Returns and Portfolio Dynamics",True,,2026-03-11T08:05:00
Gx4ZDa2,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
GxQeWpZ,Gender inequality,"Care Work, Household Dynamics and Time Use",False,,2026-03-06T13:49:47
Gxj5oOz,Drivers,"Education, Skills and Human Capital Channels",True,,2026-03-11T08:05:12
GxjA2qQ,Taxation and tax evasion,Wealth Taxation and Capital Income Tax Design,False,,2026-03-06T13:49:47
GxjBl2O,Drivers,"Spatial inequality, accessibility",True,,2026-03-11T08:33:48
GxjQd7k,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
GxjapeO,Inequality dynamics,"Top Incomes, Wealth Shares and Concentration",True,,2026-03-11T08:03:14
GxjqYRj,Methods and measurement,Methodological Innovations in Inequality Research,True,,2026-03-11T08:03:34
J9ZGAe7,Drivers,"Labor Markets, Wages and Bargaining Power",True,,2026-03-11T08:05:12
J9ZYKrR,Global inequality,Global Wealth Dynamics - General,True,,2026-03-11T08:05:00
J9ZbOJR,Inequality perceptions,"Information, Narratives and Belief Formation",False,,2026-03-06T13:49:47
