SubmissionID,TitleOverride,AuthorOverride,LinkToPDFOverride,LinkToPDFOverrideActive,IsModerator,UpdatedAt
0Q505JN,,,,,True,2026-04-29T14:37:17
0QgvpgN,,,,,True,2026-04-29T15:56:55
0Qyb44N,Private Capital Markets and Inequality,Ararat Gocmen - Clara Martinez-Toledano,,,,2026-04-17T15:19:58
1AgYRRb,Non-Stationary Wealth Dynamics and Taxation in the U.S. With an Application to the Racial Gap,Alberto Bisin,,,True,2026-04-29T16:02:44
2EgN5gD,,,,,True,2026-04-29T15:30:05
2EgReqM,Shift or Share? Profit Shifting and Implications for Workers Profit-Sharing,Laure Heidmann,,,,2026-04-29T14:53:13
2EgVxqb,,,,,True,2026-04-29T14:53:38
2EyMXEe,Inequality and Redistribution in Switzerland: Evidence from Distributional National Accounts,Julian Koller,,,,2026-04-17T14:50:52
44DEyOA,,,,,True,2026-04-29T15:26:23
44DYy4o,,,,,True,2026-04-29T14:37:32
44yjQv5,Natural resources and gender (in)equality in education in Africa,Idrissa Ouedraogo,,,,2026-04-29T14:47:59
5BD7vQN,,,,,True,2026-04-29T15:23:37
5BDJJdo,,,,,True,2026-04-29T14:35:56
5BgoxeE,,,,,True,2026-04-29T14:53:25
68yD9rB,Do Billionaires Pay Taxes?,Clément Malgouyres,,,,2026-04-29T15:30:05
68zWvgo,The Effects of Minimum Wage Increases on Poverty and Food Hardship,Lukas Lehner,,,,2026-04-29T16:03:07
81ggqEz,,,,,True,2026-04-29T15:56:13
A7G1gLo,,,,,True,2026-04-29T16:04:05
A7OGVKk,From fragile careers to inadequate pensions: a cohort comparison of career dynamics in Italy,Francesca Subioli,,,,2026-04-29T14:53:25
A7ONzke,Measuring Global Inequality: How accounting for inequality within the household affects the global profile,Samuel Kofi Tetteh-Baah,,,,2026-04-17T15:03:29
A7OY7j0,,,,,True,2026-04-29T16:00:36
A7ydRzN,,,,,True,2026-04-29T14:37:58
BzVp2X5,,,,,True,2026-04-29T15:53:39
Bzl2NWY,"Global Wealth Accumulation and Ownership Patterns, 1800-2025",Alice Sodano,,,True,2026-04-29T15:23:01
D4EyxBl,Returns to wealth for everyone: Long-run evolution of group-specific rates of return along the wealth distribution,Filip Novokmet,,,,2026-04-29T14:51:07
EkEjqMq,Political Influence on Agricultural Credit Allocation: Evidence from a Regression Discontinuity Design in India,Prosenjit Barman,,,,2026-04-29T14:37:17
EkezORA,"Political Instability, Urban Informality, and Labor Markets: Evidence from Egypt",Dima El Hariri,,,True,2026-04-29T16:03:46
Ekg7Jgr,Is There Really a Child Penalty in the  Long Run? New Evidence from IVF Treatments,Eric Plug,,,,2026-04-29T14:36:15
EkrGEaL,,,,,True,2026-04-29T15:59:31
GxQeWpZ,,,,,True,2026-04-29T15:53:58
Gxj5oOz,"Child Deprivation and Early Educational Outcomes: Evidence from Young Lives, India",Ellanki Revathi,,,,2026-04-29T16:03:46
J9ZGAe7,Did Classical Capitalism Ever Exist? New Evidence from Income Tax and Census Microdata from the USA (1936-1980),Miguel Artola,,,,2026-04-29T15:56:13
J9ZbOJR,"Biased Information, Biased Preferences: How Fragmented Media Environments Undermine Support for Redistribution",Oscar Barrera Rodriguez,,,True,2026-04-29T16:06:55
J9Zbpbo,Shaping women's fortunes: inheritance and gender disparities,Naomi Crowther,,,,2026-04-29T15:52:33
KYN4OW8,"Rising Gaps, Falling Concentration: Wealth Inequality and Portfolio Diffusion in Sweden",Paula Roth,,,,2026-04-20T09:45:40
KYNAvjD,The Impact of Extreme Climate Events on Income Distribution in Italy: A Municipality-Level Analysis,Matteo Coronese,,,,2026-04-17T14:52:35
MeQlkME,Measuring Inflation Inequality in India: A State-level Analysis,Prachi Bansal,,,,2026-04-29T14:44:23
ODeAXPK,,,,,True,2026-04-29T15:52:33
PdWLjGe,,,,,True,2026-04-29T14:48:37
PdelMQ5,,,,,True,2026-04-29T14:51:07
PdexX7e,,,,,True,2026-04-29T15:29:41
QKaJA1G,,,,,True,2026-04-29T15:56:24
QKaaeKA,Towards Narratives of Inequality,Frank Cowell,,,True,2026-04-30T15:20:51
QKj2jxA,Impact of financial support for entrepreneurship on economic performance  in Senegal: The case of PAVIE,Boina Yasser,,,True,2026-04-29T16:03:07
QKjXqWg,Does the apple fall far from the tree? New evidence on intergenerational social mobility across OECD countries,Tomomi Tanaka,,,,2026-04-29T15:29:41
RG6gYEl,From Lion Rock to Locked Gates: The Decline of Upward Mobility in Hong Kong,Zhejin Zhao,,,,2026-04-29T15:29:41
RG6lNed,,,,,True,2026-04-29T15:28:34
VLBxL4g,,,,,True,2026-04-29T14:47:59
VLBy6eN,,,,,True,2026-04-29T16:06:15
WOkXNGJ,Demographic Change and Intergenerational Transmission.  With an application to China,Dirk Van de Gaer,,,,2026-04-29T16:08:38
WOkpMgj,,,,,True,2026-04-29T15:30:45
Y5vANd0,The Climate Cost of Inequality: Trade-offs and Structural Effects,Svenja Fletchner,,,,2026-04-29T15:35:38
