SubmissionID,PlacementStatus,SessionId,TalkIndex,OverflowOrder,UpdatedAt
0Q505JN,scheduled,37da9863-4612-5354-b833-fda2b2d1d2d4,2,,2026-04-23T09:39:31
0QDJvXQ,scheduled,3c9638a1-b8ec-579d-9b03-db9e812cecbf,2,,2026-04-23T09:39:59
0QgvpgN,scheduled,cda98b9f-87ed-54b3-92c7-790687dc2106,4,,2026-04-16T17:35:12
0QgyXB9,unassigned,,,,2026-04-17T10:14:44
0Qyb44N,overflow,1d96e9ed-ae3b-5699-976b-48f927e48672,,1,2026-04-20T11:31:32
1AgYRRb,scheduled,ae11df5a-5c45-54a1-aeda-9cf5f855f737,4,,2026-04-16T17:59:22
1Age6QL,scheduled,68750050-01be-5c35-b256-29c008d72a94,4,,2026-04-20T11:31:32
1AxJ75M,scheduled,ad22a049-0377-59a2-be44-10f92dbc12d2,1,,2026-04-16T17:40:43
2E5697V,scheduled,611aa61f-0d61-560f-97f4-79d0862d0847,3,,2026-04-16T11:48:18
2EgDeOA,scheduled,68750050-01be-5c35-b256-29c008d72a94,3,,2026-04-20T11:31:32
2EgE4MD,scheduled,a2e83f99-35e1-5d1a-86c3-331f3229cc75,3,,2026-04-20T11:29:52
2EgN5gD,scheduled,9372e55b-7794-5e8a-8941-47672d73c1b4,4,,2026-03-11T10:05:18
2EgReqM,scheduled,e563db19-44ce-54ff-819a-d0a9a42ec08d,3,,2026-04-16T17:14:32
2EgVxqb,scheduled,611aa61f-0d61-560f-97f4-79d0862d0847,4,,2026-04-16T11:52:46
2EgY8qL,scheduled,60ccb7da-0f57-5d46-8ed3-8debe06ec73e,4,,2026-04-16T17:50:22
2Egzk19,scheduled,4aa8d497-3de4-514f-90d7-717d0d810645,3,,2026-03-13T15:42:17
2EyMXEe,overflow,338c97eb-78b3-5047-96db-d3656f18d647,,1,2026-04-23T10:05:41
2EyQyyV,scheduled,611aa61f-0d61-560f-97f4-79d0862d0847,2,,2026-04-16T11:47:30
44DEyOA,scheduled,047638b2-e25d-5208-a921-2bba9e84aef1,2,,2026-03-12T15:15:25
44DRNBX,scheduled,c040ca03-5a2e-565d-b328-a889f0d6bd24,2,,2026-04-16T17:58:32
44DYXok,scheduled,ae11df5a-5c45-54a1-aeda-9cf5f855f737,5,,2026-04-17T10:23:38
44DYy4o,scheduled,0ceb8cba-17bc-50d3-b55f-75deb14ed429,4,,2026-03-13T10:33:04
44DplqY,unassigned,,,,2026-04-03T09:25:22
44qQ8GO,scheduled,d43d90bd-6011-5501-9e3d-c96cee718ee9,1,,2026-04-17T11:01:23
44ygrrY,scheduled,2a55714b-f765-506d-8046-13d635efd106,2,,2026-04-16T17:18:43
44yjQv5,scheduled,8dac8193-1c28-5458-b3da-41a493b121bb,1,,2026-04-16T09:48:24
44ypvj5,scheduled,bea91d85-2037-5c80-8095-b1d16d1a3b69,3,,2026-03-13T15:56:05
5BD7vQN,scheduled,d43d90bd-6011-5501-9e3d-c96cee718ee9,4,,2026-03-13T15:50:16
5BDJJdo,scheduled,5cd277dc-236b-5446-90a9-91107748be21,4,,2026-04-14T15:50:27
5Bg17Dv,scheduled,011a7233-bcc7-5b49-a46e-68dde9d47718,1,,2026-03-13T15:59:09
5Bg6lKE,scheduled,0bf1aa12-2ee6-5327-bff9-6da25d94a416,1,,2026-04-16T17:59:22
5BgY1Zv,scheduled,c040ca03-5a2e-565d-b328-a889f0d6bd24,4,,2026-04-16T17:58:32
5BgYe9Q,scheduled,8dac8193-1c28-5458-b3da-41a493b121bb,4,,2026-04-16T09:58:12
5BgoxeE,scheduled,9b1a9d79-3169-5bc9-9c6b-f580eed17b86,5,,2026-04-23T10:05:16
5Bgr8lN,scheduled,4aa8d497-3de4-514f-90d7-717d0d810645,1,,2026-03-13T13:31:40
5BgzD9o,scheduled,1d96e9ed-ae3b-5699-976b-48f927e48672,1,,2026-04-20T11:31:32
68yD66P,scheduled,2a55714b-f765-506d-8046-13d635efd106,4,,2026-04-16T17:18:43
68yD9rB,scheduled,9372e55b-7794-5e8a-8941-47672d73c1b4,1,,2026-03-11T10:03:12
68ylgQY,unassigned,,,,2026-04-03T09:24:56
68zO8Le,scheduled,7448eb9b-ec23-556a-a343-efcfb18d9533,3,,2026-03-11T09:47:26
68zW0ve,scheduled,047638b2-e25d-5208-a921-2bba9e84aef1,4,,2026-03-12T15:16:03
68zWvgo,scheduled,e4cd29f1-458a-5a2e-89c6-7907fa8ef9a6,3,,2026-03-25T17:22:57
7Re8D86,scheduled,338c97eb-78b3-5047-96db-d3656f18d647,4,,2026-04-23T10:05:41
7Rej2Mz,unassigned,,,,2026-04-03T09:24:38
7Rggv1a,unassigned,,,,2026-04-15T13:28:16
7RgzQG9,unassigned,,,,2026-04-15T13:10:43
7RzYoq0,scheduled,27f42dfe-9ba9-5c14-be2e-6a9aa3a4730c,1,,2026-04-16T18:02:41
815BbXA,scheduled,9372e55b-7794-5e8a-8941-47672d73c1b4,2,,2026-03-11T10:03:40
81g9ZWP,scheduled,45494c18-33d0-5dd6-8146-6b7a6246f57b,3,,2026-03-12T13:06:36
81ggORz,scheduled,e563db19-44ce-54ff-819a-d0a9a42ec08d,4,,2026-04-16T17:14:32
81ggqEz,scheduled,b2df1c97-1cc2-542f-8d98-d5a7ccdce4c0,3,,2026-04-16T13:51:42
81gyGV5,scheduled,8ad77046-2194-51d2-a4e6-158286fcbb70,2,,2026-04-16T17:39:47
81y9oQo,scheduled,ae11df5a-5c45-54a1-aeda-9cf5f855f737,2,,2026-04-16T17:59:22
9qgPvG1,unassigned,,,,2026-04-03T09:24:20
9qgdlA4,scheduled,847db82a-f93c-52b1-a16b-c1533f4fc0bf,4,,2026-04-16T17:18:23
9qgpV2G,scheduled,cda98b9f-87ed-54b3-92c7-790687dc2106,1,,2026-03-13T12:50:59
A7G1gLo,scheduled,a2e83f99-35e1-5d1a-86c3-331f3229cc75,4,,2026-04-20T11:29:52
A7OD9ky,scheduled,1dfa0fde-83eb-5bb4-b138-46e1220a5bb0,1,,2026-03-25T16:21:05
A7OGVKk,scheduled,9b1a9d79-3169-5bc9-9c6b-f580eed17b86,1,,2026-04-23T10:05:16
A7OGvQk,scheduled,8ad77046-2194-51d2-a4e6-158286fcbb70,1,,2026-04-16T17:39:47
A7ONzke,overflow,56231a19-45e2-5615-80f6-438e9d4331ab,,1,2026-04-20T09:29:47
A7OOPE0,unassigned,,,,2026-04-03T09:23:36
A7OY7j0,scheduled,c040ca03-5a2e-565d-b328-a889f0d6bd24,1,,2026-04-16T17:58:32
A7OlqYl,scheduled,cda98b9f-87ed-54b3-92c7-790687dc2106,2,,2026-04-16T18:08:18
A7ydRzN,scheduled,2a55714b-f765-506d-8046-13d635efd106,1,,2026-04-16T17:18:43
BzVkvRA,scheduled,deb4e105-4f8c-51f2-840e-fc0742ac3a57,2,,2026-03-12T11:09:11
BzVp2X5,scheduled,bea91d85-2037-5c80-8095-b1d16d1a3b69,5,,2026-04-16T09:43:05
Bzl2NWY,scheduled,1d96e9ed-ae3b-5699-976b-48f927e48672,4,,2026-04-20T11:31:32
BzlyMM5,scheduled,deb4e105-4f8c-51f2-840e-fc0742ac3a57,1,,2026-03-12T11:09:11
D4EAr65,scheduled,eba1a77d-338c-5e5b-bbc0-2ccc6e36359b,2,,2026-04-14T14:19:17
D4EyxBl,scheduled,658e910e-d02f-5910-a524-3901a3790f9a,1,,2026-04-16T17:18:43
D4P8yg5,scheduled,9b1a9d79-3169-5bc9-9c6b-f580eed17b86,2,,2026-04-23T10:05:16
D4PMAGl,scheduled,d30149c9-7b15-5a97-aa72-e9e5755eea67,1,,2026-04-16T17:36:33
D4PQ47E,scheduled,620636b8-d741-5183-8682-cb63daf22fe3,3,,2026-03-13T11:30:23
D4YrzYj,unassigned,,,,2026-04-03T09:22:51
EkEP7gA,scheduled,3c9638a1-b8ec-579d-9b03-db9e812cecbf,1,,2026-04-23T09:39:59
EkEjqMq,scheduled,37da9863-4612-5354-b833-fda2b2d1d2d4,1,,2026-04-23T09:39:31
