SessionId,SessionCode,Status,DayLabel,DayNum,BlockLabel,BlockNum,TimeLabel,StartMin,EndMin,Room,Capacity,Source,UpdatedAt
011a7233-bcc7-5b49-a46e-68dde9d47718,D2-B2-R3-71,active,Day 2 (5th June),2,SESSION 2,2,11h30-13h00,690,780,R3-71,4,template,2026-03-09T09:40:50
047638b2-e25d-5208-a921-2bba9e84aef1,D2-B1-R3-71,active,Day 2 (5th June),2,SESSION 1,1,9h30-11h00,570,660,R3-71,4,template,2026-03-09T09:40:50
0bf1aa12-2ee6-5327-bff9-6da25d94a416,D3-B2-R1-10,active,Day 3 (6th June),3,SESSION 2,2,11h30-13h00,690,780,R1-10,4,template,2026-03-09T09:40:50
0ceb8cba-17bc-50d3-b55f-75deb14ed429,D1-B1-R1-10,active,Day 1 (4th June),1,SESSION 1,1,11h30-13h00,690,780,R1-10,4,template,2026-03-09T09:40:50
10d39b81-8b78-56fe-b902-25a866bc3115,D2-B2-TBD-C,active,Day 2 (5th June),2,SESSION 2,2,11h30-13h00,690,780,TBD-C,4,template,2026-03-09T09:40:50
1917c625-ce29-5625-8d12-7103451f1eff,D2-B4-R3-71,active,Day 2 (5th June),2,SESSION 4,4,16h00-17h30,960,1050,R3-71,4,template,2026-03-09T09:40:50
1c4f8af1-1d0a-5f7f-9cf3-7c619c978ee9,D2-B2-R2-01,active,Day 2 (5th June),2,SESSION 2,2,11h30-13h00,690,780,R2-01,4,template,2026-03-09T09:40:50
1d96e9ed-ae3b-5699-976b-48f927e48672,D2-B1-R1-09,active,Day 2 (5th June),2,SESSION 1,1,9h30-11h00,570,660,R1-09,4,template,2026-03-09T09:40:50
1dfa0fde-83eb-5bb4-b138-46e1220a5bb0,D3-B2-R3-71,active,Day 3 (6th June),3,SESSION 2,2,11h30-13h00,690,780,R3-71,4,template,2026-03-09T09:40:50
27bfa375-69b5-551f-bf98-526876a242c5,D1-B3-TBD-B,active,Day 1 (4th June),1,SESSION 3,3,16h00-17h30,960,1050,TBD-B,4,template,2026-03-09T09:40:50
27f42dfe-9ba9-5c14-be2e-6a9aa3a4730c,D3-B2-R1-09,active,Day 3 (6th June),3,SESSION 2,2,11h30-13h00,690,780,R1-09,4,template,2026-03-09T09:40:50
28edddfb-ed41-5e9f-9aa7-962c992bf6a1,D3-B2-R2-21,active,Day 3 (6th June),3,SESSION 2,2,11h30-13h00,690,780,R2-21,4,template,2026-03-09T09:40:50
2a55714b-f765-506d-8046-13d635efd106,D1-B1-R3-71,active,Day 1 (4th June),1,SESSION 1,1,11h30-13h00,690,780,R3-71,4,template,2026-03-09T09:40:50
31906b2c-c000-59fd-8ddf-13870d65d099,D3-B1-TBD-A,active,Day 3 (6th June),3,SESSION 1,1,9h30-11h00,570,660,TBD-A,4,template,2026-03-09T09:40:50
338c97eb-78b3-5047-96db-d3656f18d647,D1-B3-R3-71,active,Day 1 (4th June),1,SESSION 3,3,16h00-17h30,960,1050,R3-71,4,template,2026-03-09T09:40:50
3682f92e-9117-550c-a480-cc1177d00a53,D3-B1-TBD-B,active,Day 3 (6th June),3,SESSION 1,1,9h30-11h00,570,660,TBD-B,4,template,2026-03-09T09:40:50
37da9863-4612-5354-b833-fda2b2d1d2d4,D1-B1-TBD-A,active,Day 1 (4th June),1,SESSION 1,1,11h30-13h00,690,780,TBD-A,4,template,2026-03-09T09:40:50
3a69e01a-c441-5cac-8fca-f86a3295ec3a,D3-B2-TBD-B,active,Day 3 (6th June),3,SESSION 2,2,11h30-13h00,690,780,TBD-B,4,template,2026-03-09T09:40:50
3c9638a1-b8ec-579d-9b03-db9e812cecbf,D1-B3-R1-09,active,Day 1 (4th June),1,SESSION 3,3,16h00-17h30,960,1050,R1-09,4,template,2026-03-09T09:40:50
45494c18-33d0-5dd6-8146-6b7a6246f57b,D2-B1-R2-21,active,Day 2 (5th June),2,SESSION 1,1,9h30-11h00,570,660,R2-21,4,template,2026-03-09T09:40:50
4aa8d497-3de4-514f-90d7-717d0d810645,D3-B1-R1-10,active,Day 3 (6th June),3,SESSION 1,1,9h30-11h00,570,660,R1-10,4,template,2026-03-09T09:40:50
56231a19-45e2-5615-80f6-438e9d4331ab,D2-B4-R1-10,active,Day 2 (5th June),2,SESSION 4,4,16h00-17h30,960,1050,R1-10,4,template,2026-03-09T09:40:50
5cd277dc-236b-5446-90a9-91107748be21,D1-B1-R1-09,active,Day 1 (4th June),1,SESSION 1,1,11h30-13h00,690,780,R1-09,4,template,2026-03-09T09:40:50
5ed67f8c-c896-5c04-b223-7578cb199e37,D2-B2-TBD-B,active,Day 2 (5th June),2,SESSION 2,2,11h30-13h00,690,780,TBD-B,4,template,2026-03-09T09:40:50
5ee3ee2f-96aa-5880-b10e-8747cd12cfb9,D1-B2-TBD-A,active,Day 1 (4th June),1,SESSION 2,2,14h00-15h30,840,930,TBD-A,4,template,2026-03-09T09:40:50
60ccb7da-0f57-5d46-8ed3-8debe06ec73e,D2-B1-R1-10,active,Day 2 (5th June),2,SESSION 1,1,9h30-11h00,570,660,R1-10,4,template,2026-03-09T09:40:50
611aa61f-0d61-560f-97f4-79d0862d0847,D1-B3-R1-10,active,Day 1 (4th June),1,SESSION 3,3,16h00-17h30,960,1050,R1-10,4,template,2026-03-09T09:40:50
620636b8-d741-5183-8682-cb63daf22fe3,D2-B2-R1-10,active,Day 2 (5th June),2,SESSION 2,2,11h30-13h00,690,780,R1-10,4,template,2026-03-09T09:40:50
658e910e-d02f-5910-a524-3901a3790f9a,D1-B3-R2-21,active,Day 1 (4th June),1,SESSION 3,3,16h00-17h30,960,1050,R2-21,4,template,2026-03-09T09:40:50
68750050-01be-5c35-b256-29c008d72a94,D2-B4-R1-09,active,Day 2 (5th June),2,SESSION 4,4,16h00-17h30,960,1050,R1-09,4,template,2026-03-09T09:40:50
6acc60bf-d163-5123-8123-231aea71b0ad,D2-B3-TBD-A,active,Day 2 (5th June),2,SESSION 3,3,14h00-15h30,840,930,TBD-A,4,template,2026-03-09T09:40:50
6c8f901f-b38d-55d4-aeca-959adfd6dbba,D2-B2-TBD-A,active,Day 2 (5th June),2,SESSION 2,2,11h30-13h00,690,780,TBD-A,4,template,2026-03-09T09:40:50
6dae8a17-981c-5a51-ac6a-b02d20d7d7ef,D1-B2-R2-21,active,Day 1 (4th June),1,SESSION 2,2,14h00-15h30,840,930,R2-21,4,template,2026-03-09T09:40:50
6f3d5f07-c10f-523c-a50f-01ff7ccc253e,D2-B3-TBD-C,active,Day 2 (5th June),2,SESSION 3,3,14h00-15h30,840,930,TBD-C,4,template,2026-03-09T09:40:50
6f47e9a9-0b11-5c39-99b9-a4b71c2db12f,D2-B3-TBD-B,active,Day 2 (5th June),2,SESSION 3,3,14h00-15h30,840,930,TBD-B,4,template,2026-03-09T09:40:50
7448eb9b-ec23-556a-a343-efcfb18d9533,D1-B2-R1-10,active,Day 1 (4th June),1,SESSION 2,2,14h00-15h30,840,930,R1-10,4,template,2026-03-09T09:40:50
75afa65e-275b-5aed-951f-80d56464d2ff,D3-B3-TBD-B,active,Day 3 (6th June),3,SESSION 3,3,14h00-15h30,840,930,TBD-B,4,template,2026-03-09T09:40:50
847db82a-f93c-52b1-a16b-c1533f4fc0bf,D1-B2-R1-09,active,Day 1 (4th June),1,SESSION 2,2,14h00-15h30,840,930,R1-09,4,template,2026-03-09T09:40:50
85079871-f72b-53f9-ada7-b5583da10de3,D1-B2-R3-71,active,Day 1 (4th June),1,SESSION 2,2,14h00-15h30,840,930,R3-71,4,template,2026-03-09T09:40:50
8ad77046-2194-51d2-a4e6-158286fcbb70,D2-B4-R2-01,active,Day 2 (5th June),2,SESSION 4,4,16h00-17h30,960,1050,R2-01,4,template,2026-03-09T09:40:50
8dac8193-1c28-5458-b3da-41a493b121bb,D2-B4-TBD-A,active,Day 2 (5th June),2,SESSION 4,4,16h00-17h30,960,1050,TBD-A,4,template,2026-03-09T09:40:50
9372e55b-7794-5e8a-8941-47672d73c1b4,D2-B3-R2-01,active,Day 2 (5th June),2,SESSION 3,3,14h00-15h30,840,930,R2-01,4,template,2026-03-09T09:40:50
9b1a9d79-3169-5bc9-9c6b-f580eed17b86,D1-B3-TBD-A,active,Day 1 (4th June),1,SESSION 3,3,16h00-17h30,960,1050,TBD-A,4,template,2026-03-09T09:40:50
